,Artist,New
0,Cico P,1
1,Momoiro Clover Z,0
2,StarBoi3,1
3,SyKo,1
4,ArrDee,1
5,Buni,1
6,E1 (3x3),1
7,Loui,1
8,Midi Blosso,1
9,Momokurotei Ichimon,0
10,ZT (3x3),1
11,Hd4president,1
12,Taylor Girlz,1
13,Bella Poarch,1
14,Kylesimps,1
15,PlayaPhonk,1
16,B3Y0NDA110DD$,1
17,Cassidi,1
18,DJ Espinos,1
19,Bo Burnham,0
20,Hentai Xander,1
21,Remble,0
22,framed,1
23,Capella Grey,1
24,DJ RKT,1
25,DJ Stephany,1
26,LVL1,1
27,Eduardo XD,1
28,Hoàng Read,1
29,Kblast,1
30,XXKATUSJINSUX,1
31,Yung Fazo,1
32,A-Wall,1
33,Lesley Gore,0
34,Hot Freaks,0
35,MC ORSEN,1
36,Cassanova,0
37,Nova,0
38,Sam Gray,0
39,CKay,1
40,d6ni4l,1
41,lil.eaarl,0
42,Dent May,0
43,Tokischa,1
44,DVRST,1
45,Ivan Cornejo,1
46,LISA,0
47,Madds Buckley,1
48,DJ Smuddpurpp,1
49,Rebzyyx,1
50,23,0
51,JBroadway,0
52,Jenna Raine,1
53,Moreart,1
54,RealestK,1
55,Riko Rose,1
56,Joey Cool,1
57,King Iso,1
58,1200d,1
59,The Walters,0
60,ACRAZE,1
61,Dréya Mac,1
62,FelixThe1st,1
63,Trefuego,1
64,DJ Erik JP,1
65,Finch Fetti,1
66,Opps,1
67,The 502s,0
68,Goya Menor,1
69,IShowSpeed,1
70,Nektunez,1
71,Saucy Santana,0
72,XoBrooklynne,1
73,Jnr Choi,1
74,Adassa,0
75,Carolina Gaitán - La Gaita,0
76,Diane Guerrero,0
77,Encanto - Cast,0
78,Mauro Castillo,0
79,Rhenzy Feliz,0
80,BellyDancer,1
81,Giblack,1
82,Jessica Darrow,0
83,Sadie Jean,1
84,ShakeyFunnyAzz,1
85,So Supa,1
86,Sugey Torres,0
87,charlieonnafriday,1
88,Arcane,0
89,TarioP,1
90,Nutcase22,1
91,ALTÉGO,1
92,John Johnis,1
93,Nicky Youre,1
94,Jx.Zero,1
95,Los Lara,1
96,GamerBoi,1
97,Ishowsped,1
98,Rachel Chinouriri,1
99,ShantiiP,1
100,iayze,1
101,lil Shordie Scott,1
102,MNR Tobi,1
103,Eden Muñoz,0
104,Dylan Conrique,1
105,SleazyWorld Go,1
106,prodby668,1
107,xxanny,1
108,Don Kobee,1
109,Mtsg,1
110,Speed Radio,0
111,Robinson,1
112,Akintoye,1
113,Dougie B,1
114,Joseline Hernandez,0
115,Madeline The Person,1
116,Suki Waterhouse,1
117,GloRilla,1
118,Hitkidd,1
119,Cafuné,1
120,Brae,1
121,Lil Yawh,1
122,Real Boston Richey,1
123,Bailey Zimmerman,1
124,Tito Silva Music,1
125,skaiwater,1
126,Izzamuzzic,1
127,Lawsy,1
128,sped up nightcore,0
129,Altajmusic,1
130,Big Boogie,0
131,Mc gringo,1
132,Betillo Guerrero,0
133,David Morris,1
134,Luclover,1
135,The Gregory Brothers,0
136,Chalie Boy,0
137,NAYEON,0